item,logprob
admintispo,-10.50865
admintisko,-9.801492
admintisto,-9.160483
admintisma,-10.07754
agnaDe,-8.294539
aGRaDe,-6.46166
apnaDe,-10.40443
asnaDe,-8.818037
agmaDe,-8.99948
admaDe,-9.309772
aknaDe,-9.645824
afGaDe,-7.978313
asmaDe,-8.241302
anlekutjon,-11.9958
anleRutjon,-13.09632
anlenutjon,-12.4976
anlemutjon,-13.41865
anletutjon,-12.85386
anlikutjon,-12.66
anliRutjon,-13.9895
anlinutjon,-13.01141
anlimutjon,-12.95228
anlitutjon,-12.94451
admoDusa,-10.41662
admoDuto,-12.40477
admoRusa,-12.38054
admoRuto,-12.16904
admonusa,-12.35384
admonuto,-11.65439
admomusa,-12.87128
admomuto,-12.33937
admokusa,-11.87252
admokuto,-11.37319
anlaRutisto,-13.71871
anlakutisto,-12.67977
anliRutisto,-14.56831
anlikutisto,-13.23881
aNgaRutisto,-13.14278
aNgakutisto,-12.75439
aNxiRutisto,-12.59216
aNxikutisto,-12.23892
anliRutisma,-15.48537
anlikutisma,-14.15587
anlaRutisma,-14.63577
anlakutisma,-13.59683
aNxiRutisma,-13.50922
aNxikutisma,-13.15598
aNgaRutisma,-14.05984
aNgakutisma,-13.67145
admokuso,-12.08214
admoRuso,-12.59016
admotuso,-12.74232
admonuso,-12.56346
aDBokuso,-11.88902
aDBoRuso,-13.11636
aDBonuso,-13.95822
aDBotuso,-13.30297
aDxokuso,-13.33423
aDxoRuso,-13.64209
aDBaRsensja,-12.27799
aDBaRxensja,-13.97278
aDBaRfensja,-14.82131
aDBaRBensja,-13.87616
aDsisfensja,-14.17728
abBisfensja,-15.86881
agDaRsensja,-12.3154
agDaRxensja,-14.01019
aDBaRsente,-10.72859
aDBaRxente,-12.42338
aDBaRfente,-13.27191
aDBaRBente,-12.32677
aDsisfente,-12.62788
abBisfente,-14.31942
aGloNxente,-10.2303
aGlombente,-10.27532
aGlomfente,-11.10746
aGReksjon,-7.374001
atBeksjon,-11.39572
admulsjon,-10.57509
abBekto,-11.64342
abBulto,-12.52767
abBalto,-12.49166
abnulto,-10.42215
aBxekto,-9.422547
aBxulto,-11.93276
aBxalto,-11.45852
abDulto,-7.534371
abDalto,-9.677166
ambeRto,-7.735559
anstexja,-9.439191
anktexja,-16.91935
ansteBja,-10.72335
ansteBja,-10.72335
ankteBja,-18.20351
ankteBja,-18.20351
anktepja,-18.36764
anktepje,-19.10491
anktefja,-18.26377
aBskunsjod,-17.40287
