word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
atípico,VCVCVCV,atipiko,7,<10,-1.004289875,-0.952963275,-1.013669125,-0.9331089875,amífina,amifina,-1.020309375,-0.8730229,-1.017768625,-0.8877232375,amígina,amixina,-1.144245375,-0.945904525,-1.00425375,-0.8870673625000001,amíbina,amiBina,-1.163804,-0.9848694,-1.15656775,-1.0030166125
atómica,VCVCVCV,atomika,7,<10,-0.97288925,-0.873382275,-0.97124925,-0.8616537375000001,acólino,akolino,-0.985547125,-0.8572711500000001,-1.016120625,-0.8752689875,apósino,aposino,-0.989806,-0.835361525,-1.030375375,-0.8597164875000001,amódino,amoDino,-1.001878375,-0.903180525,-1.037712375,-0.9294342375
atómico,VCVCVCV,atomiko,7,<10,-1.01145025,-0.922628025,-1.008643,-0.9065542375,acódina,akoDina,-0.999035875,-0.8730542750000001,-1.0525585,-0.8886729875,arósina,aRosina,-1.02842725,-0.8795534,-1.04473075,-0.9188612375,aródina,aRoDina,-1.050126625,-0.93959765,-1.024152625,-0.9369902375
atónito,VCVCVCV,atonito,7,<10,-0.96880275,-0.8758573999999999,-0.97252625,-0.8777786125,amóriza,amoRisa,-0.945814,-0.8596772749999999,-0.90999825,-0.8310107375000001,amórisa,amoRisa,-0.945814,-0.8596772749999999,-1.053338875,-0.9432889875,amóliva,amoliBa,-0.939387125,-0.901568275,-1.05050875,-0.9405654875
aulaga,VVCVCV,awlaGa,6,<10,-1.1369442857142855,-1.0141307428571429,-1.125081142857143,-0.9434892714285716,ailiza,ajlisa,-1.131093,-0.9782817428571428,-0.9467512857142856,-0.8898127000000001,euraña,ewRaYa,-1.1532607142857143,-1.0238886,-1.145651571428571,-0.9990385571428572,euraza,ewRasa,-1.098874142857143,-0.9590464571428572,-1.116774142857143,-0.9463621285714284
aumentar,VVCVCCVC,awmentaR,8,10-100,-0.7763295555555555,-0.9425288,-0.8281933333333333,-0.9115806555555556,eurantar,ewRantaR,-0.936057888888889,-0.9628486888888887,-0.9289043333333332,-0.9576414333333332,aisantar,ajsantaR,-0.9728905555555556,-0.9884592444444446,-0.9862426666666668,-1.0598280999999998,,,,,,
aumento,VVCVCCV,awmento,7,10-100,-0.79973875,-0.90937165,-0.855320625,-0.8655473625000001,euranto,ewRanto,-0.979433125,-0.932048025,-0.9686205,-0.9171394875,,,,,,,,,,,,
aunar,VVCVC,awnaR,5,<10,-1.1454686666666667,-1.1057890333333331,-1.1531973333333332,-1.1488974833333334,airar,ajRaR,-1.1406401666666668,-1.179701033333333,-1.1901085,-1.19900515,aicar,ajkaR,-1.10795,-1.0552223666666667,-1.019854,-1.0610464833333333,aimar,ajmaR,-1.2218531666666668,-1.1184588666666666,-1.2434938333333332,-1.1718624833333335
aupar,VVCVC,awpaR,5,<10,-1.2108645,-1.1414927,-1.1368718333333334,-1.1101829833333334,aimar,ajmaR,-1.2218531666666668,-1.1184588666666666,-1.2434938333333332,-1.1718624833333335,aizar,ajsaR,-1.058641,-1.0546148666666666,-1.1467198333333333,-1.10370865,,,,,,
auriga,VVCVCV,awRiGa,6,<10,-1.1223245714285714,-0.9578828857142856,-1.1201934285714286,-0.9761219857142855,airaza,ajRasa,-1.1367694285714285,-0.9968427428571428,-1.209761285714286,-1.0399182714285715,airama,ajRama,-1.1967258571428572,-1.0137606,-1.2358410000000002,-1.0527552714285713,aiciza,ajsisa,-1.209855142857143,-1.0111610285714288,-1.2533908571428571,-1.1108607
